id,name,description,category,image_width,aspect_ratio,absolute_safe_ids,relative_safe_ids,camera_model
78,Phantom 65® Sensor Size 4096 x 2440,Phantom 65® Sensor Size 4096 x 2440,Digital/Vision Research®,52.100,1.78
79,Phantom 65® 4096 x 2304 4k 16:9,Phantom 65® 4096 x 2304 4k 16:9,Digital/Vision Research®,51.200,1.78
80,Phantom 65® 4096 x 1712 65mm 1:2.4,Phantom 65® 4096 x 1712 65mm 1:2.4,Digital/Vision Research®,51.200,1.78
81,Phantom 65® 3840 x 2160 UHD,Phantom 65® 3840 x 2160 UHD,Digital/Vision Research®,48.000,1.78
82,Phantom 65® 2048 x 2048,Phantom 65® 2048 x 2048,Digital/Vision Research®,25.600,1.78
83,Phantom 65® 2048 x 1104 (2k 1.85),Phantom 65® 2048 x 1104 (2k 1.85),Digital/Vision Research®,25.600,1.78
84,Phantom 65® 2048 x 872 (2k 2.35),Phantom 65® 2048 x 872 (2k 2.35),Digital/Vision Research®,25.600,1.78
85,Phantom 65® 1920 x 1080 (HDTV 16:9),Phantom 65® 1920 x 1080 (HDTV 16:9),Digital/Vision Research®,24.000,1.78
86,Phantom 65® 1632 x 1200,Phantom 65® 1632 x 1200,Digital/Vision Research®,20.400,1.78
87,Phantom 65® 1280 x 800,Phantom 65® 1280 x 800,Digital/Vision Research®,16.000,1.78
88,Phantom 65® 1280 x 720 (HDTV 16:9),Phantom 65® 1280 x 720 (HDTV 16:9),Digital/Vision Research®,16.000,1.78
89,Phantom HD Gold® Sensor Size 2048 x 2048,Phantom HD Gold® Sensor Size 2048 x 2048,Digital/Vision Research®,25.600,1.78
90,Phantom HD Gold® 2048 x 1104 (2k 1.85),Phantom HD Gold® 2048 x 1104 (2k 1.85),Digital/Vision Research®,25.600,1.78
91,Phantom HD Gold® 2048 x 872 (2k 2.35),Phantom HD Gold® 2048 x 872 (2k 2.35),Digital/Vision Research®,25.600,1.78
92,Phantom HD Gold® 1920 x 1080 (HDTV 16:9),Phantom HD Gold® 1920 x 1080 (HDTV 16:9),Digital/Vision Research®,24.000,1.78
93,Phantom HD Gold® 1632 x 1200,Phantom HD Gold® 1632 x 1200,Digital/Vision Research®,20.400,1.78
94,Phantom HD Gold® 1280 x 800,Phantom HD Gold® 1280 x 800,Digital/Vision Research®,16.000,1.78
95,Phantom HD Gold® 1280 x 720 (HDTV 16:9),Phantom HD Gold® 1280 x 720 (HDTV 16:9),Digital/Vision Research®,16.000,1.78
